score,accuracy,average_response_time,questions_attempted,performance_category
141.0,67.08,19.59,21,Average Performer
76.0,47.44,19.23,16,Average Performer
178.0,61.32,20.65,29,Average Performer
238.0,78.28,14.14,26,High Performer
333.0,91.06,13.89,35,High Performer
410.0,100.0,12.49,35,High Performer
262.0,76.44,17.81,32,High Performer
78.0,43.51,17.02,18,Average Performer
300.0,75.0,21.2,40,Average Performer
110.0,42.34,13.47,26,Average Performer
245.0,58.38,13.36,42,Average Performer
257.0,77.85,13.47,28,High Performer
452.0,87.79,13.09,46,High Performer
396.0,74.19,8.68,44,High Performer
138.0,46.13,25.2,30,Average Performer
81.0,30.0,16.91,27,Average Performer
196.0,72.17,11.8,22,High Performer
114.0,30.92,16.23,37,Average Performer
169.0,49.77,20.39,34,Average Performer
325.0,88.82,16.39,32,High Performer
326.0,79.41,14.29,34,High Performer
150.0,53.59,10.38,28,Average Performer
370.0,84.42,12.33,37,High Performer
427.0,82.4,12.69,46,High Performer
39.0,20.41,25.86,19,Low Performer
226.0,100.0,11.42,21,High Performer
42.0,16.05,25.76,26,Low Performer
424.0,78.23,13.15,48,High Performer
88.0,31.54,28.91,28,Low Performer
370.0,78.53,14.9,38,High Performer
101.0,59.46,22.87,17,Average Performer
346.0,100.0,11.56,30,High Performer
18.0,36.52,26.32,5,Low Performer
25.0,12.92,24.08,19,Low Performer
107.0,67.06,14.56,16,Average Performer
108.0,67.52,21.54,16,Average Performer
292.0,75.0,28.31,39,Average Performer
82.0,29.18,20.39,28,Low Performer
103.0,42.98,22.9,24,Low Performer
224.0,59.01,19.25,38,Average Performer
240.0,75.0,17.0,32,Average Performer
48.0,31.95,29.7,15,Low Performer
352.0,82.08,7.52,36,High Performer
517.0,98.56,10.87,47,High Performer
519.0,94.84,12.03,48,High Performer
193.0,68.86,16.27,28,Average Performer
121.0,36.65,20.93,33,Average Performer
92.0,35.2,25.03,26,Low Performer
232.0,75.0,23.15,31,Average Performer
207.0,64.61,13.6,32,Average Performer
102.0,35.19,30.0,29,Low Performer
77.0,38.49,30.0,20,Low Performer
246.0,63.02,16.46,39,Average Performer
